Tenure;WarehouseToHome;NumberOfDeviceRegistered;PreferedOrderCat;SatisfactionScore;MaritalStatus;NumberOfAddress;Complain;DaySinceLastOrder;CashbackAmount;Churn
15.0;11.0;4;Laptop & Accessory;3;Single;2;0;7.0;143.32.00;0
7.0;11.0;4;Mobile;1;Married;2;0;7.0;129.29.00;0
8.0;13.0;3;Laptop & Accessory;1;Married;5;0;7.0;168.54.00;0
20.0;11.0;4;Fashion;3;Divorced;7;0;3.0;230.27.00;0
8.0;15.0;4;Others;4;Single;8;0;8.0;322.17.00;0
7.0;16.0;4;Phone;2;Divorced;2;0;11.0;152.81;0
1.0;15.0;6;Phone;5;Divorced;3;0;2.0;149.51.00;0
1.0;11.0;4;Phone;5;Single;3;0;1.0;154.73;1
11.0;12.0;4;Phone;3;Married;2;0;4.0;137.02.00;0
17.0;7.0;3;Laptop & Accessory;1;Married;5;1;2.0;157.43.00;0
6.0;11.0;6;Fashion;3;Married;5;0;3.0;221.01.00;0
16.0;20.0;2;Laptop & Accessory;5;Married;7;0;1.0;180.38.00;0
1.0;7.0;4;Phone;3;Divorced;5;0;3.0;154.09.00;1
1.0;7.0;5;Fashion;3;Divorced;7;0;3.0;23.108.999.999.999.900;1
6.0;14.0;3;Laptop & Accessory;5;Married;3;0;2.0;163.92;0
10.0;8.0;4;Laptop & Accessory;3;Single;8;0;1.0;193.15.00;0
8.0;21.0;5;Mobile;1;Married;1;1;3.0;121.68;0
8.0;22.0;4;Fashion;2;Divorced;3;0;6.0;204.78;1
19.0;11.0;4;Grocery;1;Married;2;1;11.0;259.96;0
0.0;18.0;1;Mobile;4;Single;2;0;0.0;127.16.00;1
1.0;11.0;5;Laptop & Accessory;5;Single;7;0;2.0;191.96;1
3.0;22.0;3;Laptop & Accessory;3;Married;9;0;2.0;153.01.00;0
8.0;9.0;1;Mobile;5;Married;5;1;0.0;12.669.999.999.999.900;0
5.0;14.0;3;Fashion;1;Single;2;0;7.0;189.98;0
9.0;12.0;4;Fashion;4;Single;2;0;14.0;205.95;0
18.0;11.0;3;Laptop & Accessory;3;Single;9;0;1.0;148.05.00;0
16.0;17.0;3;Fashion;3;Married;2;0;9.0;175.01.00;0
0.0;11.0;1;Mobile;3;Single;4;1;3.0;124.32.00;1
7.0;6.0;4;Fashion;5;Married;10;0;6.0;204.82;1
1.0;17.0;5;Fashion;5;Married;11;0;3.0;228.06.00;1
12.0;6.0;1;Fashion;1;Married;1;0;7.0;196.13.00;0
8.0;11.0;4;Fashion;4;Married;3;1;4.0;205.52.00;0
11.0;17.0;2;Fashion;1;Married;3;1;9.0;262.44.00;0
0.0;11.0;4;Mobile;4;Divorced;6;0;1.0;12.546.000.000.000.000;1
0.0;11.0;4;Mobile;1;Married;6;0;3.0;12.366.999.999.999.900;1
0.0;11.0;3;Mobile;5;Married;4;0;0.0;123.22.00;0
8.0;11.0;4;Grocery;3;Married;5;1;6.0;264.73;0
8.0;6.0;4;Mobile;5;Married;2;0;2.0;122.18.00;0
0.0;9.0;3;Laptop & Accessory;5;Divorced;2;1;3.0;141.94;0
1.0;7.0;4;Phone;1;Married;11;1;3.0;172.87;1
4.0;18.0;3;Phone;1;Married;9;1;2.0;139.29.00;0
18.0;7.0;4;Fashion;3;Married;4;0;4.0;20.748.000.000.000.000;0
15.0;7.0;2;Fashion;5;Married;3;0;8.0;208.92;0
