Tenure;WarehouseToHome;NumberOfDeviceRegistered;PreferedOrderCat;SatisfactionScore;MaritalStatus;NumberOfAddress;Complain;DaySinceLastOrder;CashbackAmount;Churn
15.00;29.00.00;4;Laptop & Accessory;3;Single;2;0;07.00;143.32.00;0
07.00;25.00.00;4;Mobile;1;Married;2;0;07.00;129.29.00;0
27.00.00;13.00;3;Laptop & Accessory;1;Married;5;0;07.00;168.54.00;0
20.00;25.00.00;4;Fashion;3;Divorced;7;0;;230.27.00;0
30.00.00;15.00;4;Others;4;Single;8;0;08.00;322.17.00;0
07.00;16.00;4;Mobile Phone;2;Divorced;2;0;11.00;152.81;0
01.00;15.00;6;Mobile Phone;5;Divorced;3;0;02.00;149.51.00;0
01.00;11.00;4;Mobile Phone;5;Single;3;0;01.00;154.73;1
11.00;12.00;4;Mobile Phone;3;Married;2;0;04.00;137.02.00;0
17.00;07.00;3;Laptop & Accessory;1;Married;5;1;02.00;157.43.00;0
06.00;26.00.00;6;Fashion;3;Married;5;0;;221.01.00;0
16.00;20.00;2;Laptop & Accessory;5;Married;7;0;01.00;180.38.00;0
01.00;07.00;4;Mobile Phone;3;Divorced;5;0;03.00;154.09.00;1
01.00;07.00;5;Fashion;3;Divorced;7;0;;23.108.999.999.999.900;1
06.00;14.00;3;Laptop & Accessory;5;Married;3;0;02.00;163.92;0
10.00;08.00;4;Laptop & Accessory;3;Single;8;0;01.00;193.15.00;0
;21.00;5;Mobile;1;Married;1;1;03.00;121.68;0
08.00;22.00;4;Fashion;2;Divorced;3;0;06.00;204.78;1
19.00;27.00.00;4;Grocery;1;Married;2;1;11.00;259.96;0
00.00;18.00;1;Mobile;4;Single;2;0;00.00;127.16.00;1
01.00;33.00.00;5;Laptop & Accessory;5;Single;7;0;02.00;191.96;1
03.00;22.00;3;Laptop & Accessory;3;Married;9;0;02.00;153.01.00;0
30.00.00;09.00;1;Mobile;5;Married;5;1;00.00;12.669.999.999.999.900;0
05.00;14.00;3;Fashion;1;Single;2;0;07.00;189.98;0
09.00;12.00;4;Fashion;4;Single;2;0;14.00;205.95;0
18.00;26.00.00;3;Laptop & Accessory;3;Single;9;0;01.00;148.05.00;0
16.00;17.00;3;Fashion;3;Married;2;0;09.00;175.01.00;0
00.00;;1;Mobile;3;Single;4;1;03.00;124.32.00;1
07.00;06.00;4;Fashion;5;Married;10;0;06.00;204.82;1
01.00;17.00;5;Fashion;5;Married;11;0;;228.06.00;1
12.00;06.00;1;Fashion;1;Married;1;0;07.00;196.13.00;0
30.00.00;11.00;4;Fashion;4;Married;3;1;04.00;205.52.00;0
11.00;17.00;2;Fashion;1;Married;3;1;09.00;262.44.00;0
00.00;;4;Mobile;4;Divorced;6;0;01.00;12.546.000.000.000.000;1
00.00;;4;Mobile;1;Married;6;0;03.00;12.366.999.999.999.900;1
00.00;;3;Mobile;5;Married;4;0;00.00;123.22.00;0
24.00.00;31.00.00;4;Grocery;3;Married;5;1;06.00;264.73;0
;06.00;4;Mobile;5;Married;2;0;02.00;122.18.00;0
00.00;09.00;3;Laptop & Accessory;5;Divorced;2;1;03.00;141.94;0
01.00;07.00;4;Mobile Phone;1;Married;11;1;03.00;172.87;1
04.00;18.00;3;Mobile Phone;1;Married;9;1;02.00;139.29.00;0
18.00;07.00;4;Fashion;3;Married;4;0;04.00;20.748.000.000.000.000;0
15.00;07.00;2;Fashion;5;Married;3;0;08.00;208.92;0
17.00;21.00;4;Grocery;5;Married;8;0;01.00;296.59.00;0
;07.00;4;Mobile;3;Married;2;0;00.00;12.008.000.000.000.000;0
04.00;15.00;4;Fashion;3;Married;7;0;08.00;197.64;0
05.00;09.00;4;Mobile Phone;1;Married;2;1;03.00;151.95;0
11.00;17.00;2;Mobile Phone;1;Single;5;0;01.00;171.08.00;0
24.00.00;06.00;4;Fashion;5;Single;4;0;08.00;174.84;0
00.00;06.00;3;Laptop & Accessory;3;Divorced;2;0;07.00;152.96;0
03.00;06.00;3;Laptop & Accessory;1;Single;2;0;07.00;140.11.00;0
61.00.00;28.00.00;4;Grocery;1;Married;6;1;01.00;303.75;0
16.00;09.00;4;Fashion;1;Married;4;1;;226.24.00;0
25.00.00;10.00;3;Grocery;2;Divorced;3;0;04.00;265.55.00;0
09.00;22.00;4;Laptop & Accessory;5;Married;5;0;02.00;156.47.00;0
08.00;08.00;4;Laptop & Accessory;1;Married;11;0;02.00;179.84;0
08.00;33.00.00;5;Mobile Phone;3;Married;3;0;01.00;145.29.00;0
00.00;;4;Mobile;4;Married;2;0;03.00;123.68;0
17.00;19.00;5;Grocery;4;Married;3;0;10.00;268.36.00;0
08.00;26.00.00;5;Mobile Phone;1;Married;3;0;08.00;154.29.00;0
03.00;;3;Mobile;1;Single;1;0;07.00;12.563.999.999.999.900;0
00.00;08.00;3;Laptop & Accessory;3;Single;2;1;04.00;144.78;0
04.00;32.00.00;3;Mobile;3;Married;2;0;03.00;129.11.00;0
01.00;10.00;4;Mobile Phone;5;Married;7;0;03.00;165.31.00;1
01.00;16.00;4;Mobile Phone;1;Single;3;0;01.00;135.81;1
01.00;31.00.00;6;Mobile Phone;1;Single;3;1;01.00;148.04.00;1
00.00;16.00;3;Laptop & Accessory;2;Single;1;0;01.00;149.05.00;0
01.00;16.00;3;Laptop & Accessory;3;Single;4;0;07.00;136.06.00;0
13.00;21.00;4;Fashion;3;Married;2;0;12.00;204.35.00;0
05.00;12.00;4;Laptop & Accessory;3;Married;3;0;03.00;208.46.00;0
01.00;11.00;4;Mobile Phone;5;Single;3;0;01.00;154.73;1
00.00;;3;Mobile;3;Married;2;0;03.00;12.516.999.999.999.900;0
15.00;13.00;4;Fashion;3;Single;3;0;;217.41.00;0
24.00.00;14.00;4;Fashion;4;Divorced;6;0;;22.489.999.999.999.900;0
08.00;16.00;5;Fashion;4;Single;3;0;;211.21.00;0
14.00;14.00;3;Laptop & Accessory;4;Married;6;0;04.00;143.93;0
05.00;15.00;5;Laptop & Accessory;1;Married;1;0;07.00;146.68;0
09.00;11.00;4;Laptop & Accessory;3;Single;3;1;02.00;167.49.00;0
01.00;31.00.00;4;Mobile Phone;2;Divorced;2;0;02.00;149.00.00;0
00.00;06.00;3;Laptop & Accessory;4;Divorced;1;1;04.00;163.49.00;0
07.00;08.00;3;Laptop & Accessory;5;Single;1;1;02.00;145.38.00;0
06.00;12.00;4;Laptop & Accessory;4;Married;3;0;04.00;190.24.00;0
01.00;10.00;4;Mobile Phone;1;Single;3;1;01.00;140.69;1
09.00;18.00;4;Fashion;2;Single;1;0;08.00;188.58.00;0
08.00;11.00;4;Fashion;1;Married;4;1;;222.13.00;0
;06.00;3;Mobile;1;Married;4;0;02.00;12.269.999.999.999.900;0
11.00;22.00;3;Laptop & Accessory;4;Single;3;0;02.00;141.98;0
04.00;10.00;4;Mobile Phone;1;Married;6;0;05.00;145.97;0
25.00.00;10.00;4;Grocery;4;Single;5;0;01.00;262.34.00;0
02.00;19.00;4;Laptop & Accessory;4;Married;5;1;03.00;140.25.00;0
30.00.00;06.00;3;Fashion;2;Divorced;4;1;;21.904.000.000.000.000;0
18.00;10.00;5;Fashion;3;Married;5;0;03.00;197.56.00;0
19.00;32.00.00;4;Laptop & Accessory;4;Single;9;0;02.00;179.91;0
;15.00;3;Mobile;1;Married;4;0;03.00;120.75;0
08.00;23.00;3;Laptop & Accessory;5;Married;4;1;07.00;189.66;0
00.00;30.00.00;1;Mobile Phone;5;Single;2;0;00.00;110.91;1
08.00;32.00.00;3;Fashion;1;Single;2;1;07.00;188.37.00;0
04.00;15.00;2;Fashion;5;Married;2;1;08.00;23.916.000.000.000.000;0
00.00;35.00.00;4;Laptop & Accessory;3;Single;2;0;08.00;145.08.00;1
02.00;23.00;4;Fashion;5;Single;2;0;09.00;179.88;0
04.00;08.00;5;Mobile;1;Married;5;1;00.00;127.78;1
19.00;21.00;3;Others;4;Married;6;0;03.00;290.81;0
19.00;;3;Mobile;3;Married;9;0;08.00;12.338.999.999.999.900;1
14.00;07.00;6;Laptop & Accessory;1;Married;4;1;03.00;199.57.00;0
15.00;09.00;4;Grocery;5;Divorced;9;0;09.00;290.95;0
05.00;11.00;3;Laptop & Accessory;4;Married;2;0;03.00;165.24.00;0
01.00;14.00;2;Mobile Phone;5;Single;2;0;08.00;160.78;0
08.00;;3;Mobile;3;Married;2;0;00.00;12.403.999.999.999.900;0
21.00;11.00;4;Laptop & Accessory;3;Single;5;0;01.00;154.76;0
01.00;07.00;5;Mobile Phone;3;Married;8;1;03.00;153.00.00;1
24.00.00;12.00;4;Mobile;3;Single;1;0;07.00;128.38.00;0
14.00;16.00;3;Laptop & Accessory;1;Single;8;0;10.00;162.03.00;0
13.00;;3;Mobile;1;Married;9;0;00.00;124.06.00;0
00.00;10.00;3;Laptop & Accessory;3;Divorced;2;1;03.00;141.62;0
21.00;10.00;4;Grocery;3;Married;11;1;14.00;262.07.00;0
29.00.00;09.00;5;Mobile Phone;1;Married;10;0;05.00;151.62;0
07.00;14.00;3;Laptop & Accessory;5;Married;4;0;00.00;151.21.00;0
14.00;15.00;4;Laptop & Accessory;5;Married;4;1;01.00;190.16.00;0
05.00;09.00;6;Mobile Phone;1;Married;6;1;01.00;152.78;1
05.00;14.00;5;Mobile Phone;3;Married;5;0;03.00;148.29.00;0
02.00;15.00;5;Mobile Phone;2;Married;3;0;05.00;174.36.00;0
03.00;07.00;6;Mobile Phone;2;Married;3;0;09.00;152.02.00;0
00.00;12.00;3;Mobile Phone;1;Married;2;1;02.00;56.00.00;0
11.00;20.00;3;Laptop & Accessory;4;Married;1;0;07.00;199.24.00;0
06.00;06.00;1;Grocery;3;Married;5;0;05.00;261.84;0
02.00;15.00;5;Mobile Phone;1;Married;3;0;05.00;174.36.00;0
01.00;09.00;4;Mobile Phone;4;Married;6;0;03.00;146.87;0
14.00;15.00;3;Fashion;3;Married;4;1;07.00;181.89;0
01.00;10.00;4;Mobile Phone;1;Single;3;1;01.00;140.69;1
03.00;11.00;4;Mobile Phone;2;Married;10;0;03.00;137.61;0
26.00.00;09.00;5;Mobile Phone;2;Single;9;0;03.00;157.12.00;0
01.00;20.00;5;Laptop & Accessory;5;Married;7;1;03.00;186.34.00;1
05.00;16.00;3;Laptop & Accessory;1;Single;9;0;00.00;146.48.00;0
13.00;14.00;3;Laptop & Accessory;5;Married;3;1;00.00;165.16.00;0
04.00;08.00;3;Laptop & Accessory;2;Single;5;1;05.00;165.82;0
00.00;;3;Mobile;2;Divorced;1;0;01.00;124.00.00;0
