user_id,age,gender,education_level,employment_status,job_title,monthly_income_usd,monthly_expenses_usd,savings_usd,has_loan,loan_type,loan_amount_usd,loan_term_months,monthly_emi_usd,loan_interest_rate_pct,debt_to_income_ratio,credit_score,savings_to_income_ratio,region,record_date,cluster,pca1,pca2,risk_score,risk_category,Alert_Timestamp,Alert_Priority
U00001,56,Female,High School,Self-employed,Salesperson,3531.69,1182.59,367655.03,No,,0.0,0,0.0,0.0,0.0,430,8.68,Other,2024-01-09,1,-0.52614807961634,0.2745047178004922,80.24,Low Risk,2026-01-08 17:56:47,CRITICAL
U00002,19,Female,PhD,Employed,Salesperson,3531.73,2367.99,260869.1,Yes,Education,146323.34,36,4953.5,13.33,1.4,543,6.16,North America,2022-02-13,1,0.3483475605407514,0.1308373480630319,43.55,Medium Risk,2026-01-08 17:56:47,CRITICAL
U00004,25,Male,PhD,Employed,Manager,5894.88,4440.12,304815.51,Yes,Business,93242.37,24,4926.57,23.93,0.84,461,4.31,Europe,2023-10-02,2,-0.1899053148128311,-0.7186447282754677,56.49,Medium Risk,2026-01-08 17:56:47,CRITICAL
U00006,62,Male,Master,Employed,Student,4051.0,2244.42,194901.41,Yes,Car,407915.25,12,38219.81,22.21,9.43,718,4.01,North America,2025-02-12,3,4.993757005926675,0.2512108827370095,-189.11,,2026-01-08 17:56:47,CRITICAL
U00007,22,Female,Master,Student,Accountant,983.69,332.62,37522.56,Yes,Car,296057.6,180,6773.29,26.95,6.89,761,3.18,Asia,2024-06-01,0,2.020218911225839,0.3745020246196486,-110.89,,2026-01-08 17:56:47,CRITICAL
U00009,49,Female,High School,Self-employed,Doctor,4271.51,3062.12,451923.96,No,,0.0,0,0.0,0.0,0.0,327,8.82,Africa,2023-05-02,1,-0.5444733262805039,-0.1615503914390782,75.39,Low Risk,2026-01-08 17:56:47,CRITICAL
U00010,61,Male,Master,Employed,Student,5216.18,4369.36,203320.5,Yes,Education,324197.37,360,6782.37,25.09,1.3,558,3.25,Asia,2024-11-23,2,0.2604477415442252,-0.5501301972603391,47.26,Medium Risk,2026-01-08 17:56:47,CRITICAL
U00011,26,Female,Master,Employed,Manager,3677.43,2247.92,311546.91,Yes,Education,127703.79,240,1818.01,16.43,0.49,412,7.06,Other,2022-09-02,1,-0.1912163569665187,-0.218157024174766,64.69,Low Risk,2026-01-08 17:56:47,CRITICAL
U00012,66,Other,Bachelor,Student,Unemployed,4808.1,1537.78,202875.2,No,,0.0,0,0.0,0.0,0.0,429,3.52,Other,2025-02-21,2,-0.8381156312564197,-1.020509219876342,80.19,Low Risk,2026-01-08 17:56:47,CRITICAL
U00013,61,Male,Bachelor,Employed,Student,2449.33,1804.98,109956.88,No,,0.0,0,0.0,0.0,0.0,497,3.74,Asia,2024-09-07,2,-0.1746326069827213,-0.6430683187662177,83.39,Low Risk,2026-01-08 17:56:47,CRITICAL
U00014,65,Female,High School,Employed,Driver,5546.28,3630.24,453101.38,Yes,Car,404941.02,60,10823.31,20.42,1.95,788,6.81,North America,2022-01-15,0,0.6435267553605815,1.3398920637354508,38.58,Medium Risk,2026-01-08 17:56:47,CRITICAL
U00015,57,Male,PhD,Employed,Accountant,3286.51,2287.38,323017.91,No,,0.0,0,0.0,0.0,0.0,301,8.19,North America,2024-06-04,1,-0.361363419365662,-0.4218971392884123,74.16,Low Risk,2026-01-08 17:56:47,CRITICAL
U00016,65,Other,Bachelor,Unemployed,Student,5112.24,2573.59,218221.57,No,,0.0,0,0.0,0.0,0.0,430,3.56,Africa,2021-11-03,2,-0.8157745519429839,-1.012146729975666,80.24,Low Risk,2026-01-08 17:56:47,CRITICAL
U00017,41,Male,Master,Unemployed,Engineer,4586.14,1389.77,93116.97,No,,0.0,0,0.0,0.0,0.0,462,1.69,Other,2023-11-21,2,-0.792944824249997,-1.3244663157211705,81.74,Low Risk,2026-01-08 17:56:47,CRITICAL
